"Input #","Input Name","Type","Option","KPI Effect (Sales / Shrinkage / Customer / Engagement / Operations)","Hidden Driver Effect (Trust / Capability / Leadership Consistency / Safety Risk)","Notes"
"1","Priority Focus","Single choice (1 of 4)","Safety / Loss","Sales -1, Shrinkage -4, Operations +2","Trust +1, Safety Risk -4","Strongest control on shrinkage and safety. Costs a little sales."
"1","Priority Focus","Single choice (1 of 4)","People / Team","Sales -1, Engagement +5, Operations +1","Trust +3, Capability +2","Strongest engagement and capability lift. Slight commercial cost."
"1","Priority Focus","Single choice (1 of 4)","Customer","Sales +2, Customer +5, Engagement +1","Trust +2","Best balanced lift across sales, customer and trust."
"1","Priority Focus","Single choice (1 of 4)","Commercial","Sales +5, Customer -1, Engagement -1","Trust -1, Leadership Consistency +1","Highest sales lift but corrodes trust and customer."
"2","Action Approach","Single choice (1 of 4)","Apply standard process","Sales +1, Customer -1, Operations +3","Capability -1, Leadership Consistency +3","Reliable, consistent, but doesn't grow team capability."
"2","Action Approach","Single choice (1 of 4)","Adapt locally","Customer +3, Engagement +2, Operations -2","Capability +3, Leadership Consistency -2","Builds capability and customer feel, at the cost of consistency."
"2","Action Approach","Single choice (1 of 4)","Escalate","Shrinkage -1, Engagement -2, Operations -1","Trust -3, Capability -2","Penalised in normal flow. Becomes correct on specific disruptions (e.g. fire alarm grants Operations +3, Safety Risk -3)."
"2","Action Approach","Single choice (1 of 4)","Reallocate resource","Sales -1, Customer +1, Engagement +1, Operations +1","Trust +1, Capability +1","Versatile default. Gets a +2 Operations bonus on any disruption."
"3","Leadership Style","Single choice (1 of 4)","Directive","Engagement -2, Operations +2","Trust -1, Capability -1, Leadership Consistency +2","Sharp on operations, weak on people drivers."
"3","Leadership Style","Single choice (1 of 4)","Collaborative","Engagement +3, Operations -1","Trust +3, Capability +1","Strongest trust lift among leadership styles."
"3","Leadership Style","Single choice (1 of 4)","Coaching","Sales -1, Customer +1, Engagement +2","Trust +2, Capability +4","Strongest capability builder. Slight commercial cost."
"3","Leadership Style","Single choice (1 of 4)","Delegate","Engagement +1, Operations -1","Capability +2, Leadership Consistency -2","Builds capability quietly but erodes consistency if overused."
"4","Resource Allocation","4 sliders summing to 100","Shop Floor (default 25%)","Each percentage point above 25 lifts Sales (~+0.2 per point); below 25 reduces Sales","-","Most direct lever on Sales."
"4","Resource Allocation","4 sliders summing to 100","Backroom (default 25%)","Each point above 25 lifts Operations (~+0.2 per point); also pulls Sales down at higher levels","-","Operations driver, trades against Sales."
"4","Resource Allocation","4 sliders summing to 100","Customer Service (default 25%)","Each point above 25 lifts Customer (~+0.2 per point); slight Operations drag","Capability +0.06 per point above 25","Direct lever on Customer experience and a slow capability build."
"4","Resource Allocation","4 sliders summing to 100","Problem Resolution (default 25%)","Each point above 25 reduces Shrinkage (~-0.12 per point - good)","Safety Risk -0.10 per point above 25 (good)","Best lever on shrinkage and safety. Often under-allocated by teams."
"4","Resource Allocation","Spread penalty / bonus","Spread > 60 percentage points between highest and lowest slider","Engagement -2","Trust -1","Heavy specialisation hurts engagement and trust."
"4","Resource Allocation","Spread penalty / bonus","Spread < 15 percentage points (close to balanced)","Engagement +1","-","Balanced allocation gets a small engagement bump."
"5","Primary Issue","Single choice (1 of 3 active issues, optional)","Issue picked AND priority focus matches its tag","Operations +4 to +6 by severity, Customer +2 to +3 by severity","Trust +2, Capability +2; Safety Risk -4 to -6 if it was a safety / loss issue","The single biggest situational lever. Severity (low / medium / high) scales the bonus."
"5","Primary Issue","Single choice (1 of 3 active issues, optional)","Issue picked but priority focus does NOT match","Operations +1 to +3 (smaller)","Leadership Consistency -2","Half-credit for tackling something, penalty for misalignment."
"5","Primary Issue","Single choice (1 of 3 active issues, optional)","No primary issue selected","Operations -1","Leadership Consistency -1","Penalised. Sends a 'no clear focus' signal to the engine."
"6","People Moment Response","Single choice (1 of 4 archetypes, when a moment is present)","Directive (option A)","Engagement -2, Operations +2","Trust -1, Capability -2, Leadership Consistency +3","Sharp and clear, but hits trust and capability."
"6","People Moment Response","Single choice (1 of 4 archetypes, when a moment is present)","Coaching (option B)","Customer +1, Engagement +4, Operations -1","Trust +3, Capability +5, Leadership Consistency -1","Strongest capability builder."
"6","People Moment Response","Single choice (1 of 4 archetypes, when a moment is present)","Delegate (option C)","Engagement +2, Operations -1","Trust +1, Capability +2, Leadership Consistency -2","Builds capability quietly but at a consistency cost."
"6","People Moment Response","Single choice (1 of 4 archetypes, when a moment is present)","Collaborative (option D)","Customer +1, Engagement +3","Trust +5, Capability +1, Leadership Consistency +1","Strongest trust lift; the engine's narrow favourite overall."
"6","People Moment Response","Single choice (1 of 4 archetypes, when a moment is present)","No response when a moment is present","Engagement -3, Operations -1","Trust -3, Capability -1, Leadership Consistency -2","Heavy penalty. Avoiding the people moment is the worst option."
"7","Confidence","Single choice (1 of 3) - acts as a multiplier on every effect above","Cautious (x0.75)","All KPI deltas multiplied by 0.75","All hidden driver deltas multiplied by 0.75","'Play it safe, smaller swings, smaller upside.' Best when a poor plan is suspected."
"7","Confidence","Single choice (1 of 3) - acts as a multiplier on every effect above","Measured (x1.00)","No multiplier","No multiplier","'Standard stance, the plan stands on its merits.'"
"7","Confidence","Single choice (1 of 3) - acts as a multiplier on every effect above","Confident (x1.35)","All KPI deltas multiplied by 1.35","All hidden driver deltas multiplied by 1.35","'Press forward, bigger wins, bigger losses if wrong.' Amplifies good and bad plans equally."
