"Ref","Person","Role","Tenure","Situation","Decision prompt","A) Take charge (directive)","B) Coach","C) Hand over (delegate)","D) Work through together","Best stance (letter)","Best stance"
"mom_sam_pushback","Sam Taylor","Duty Manager","12 years in store","Sam corners you in the backroom, arms crossed. ""Your allocation plan won't work. We'll be drowning on shop floor by three. I've run this store through worse and I'm telling you now.""","Sam has more store experience than you. You have the decision rights. How do you respond?","Hold the line. Explain your rationale and move on.","Ask them what specifically they're seeing that you might be missing.","Tell them you trust their judgement. Adjust the plan to theirs.","Invite them to refine the plan with you in the next five minutes.","B","Coach"
"mom_alex_conflict","Alex Rivera","Assistant Manager","6 months in role","Alex pulls you aside looking uncomfortable. ""Two of the team leaders had a flare-up this morning over the rota. I don't know whether to step in or let them sort it. What would you do?""","Alex is asking for your view. They're new to leading leaders. How do you respond?","Give them your answer so they can act on it.","Ask them what they think the risks of each choice are.","Tell them the decision is theirs and you'll back whichever way they go.","Offer to think it through with them for ten minutes now.","A","Take charge (directive)"
"mom_jo_absent","Jo Chen","Shift Supervisor","4 months in role","Jo has now missed two shift briefings this week. The team leaders have started asking around whether the briefings even matter. Jo is capable but you're picking up a pattern.","You need to land this conversation well. How do you open it?","Be clear: briefings are non-negotiable, and you need to see them there.","Ask them what's getting in the way and what support they need.","Let them own it - ask them what they want to commit to.","Revisit the briefing together - is the time or format working?","B","Coach"
"mom_priya_leave","Priya Patel","Team Leader","3 years, top performer","Priya catches you near the lockers at end of shift. ""I've been offered another role at a competitor. I'm seriously considering it. I feel like I'm treading water here and nothing's changing.""","Priya is one of your strongest. You have a few minutes before her next shift. How do you respond?","Lay out what you can realistically offer and where the constraints sit.","Ask her what 'treading water' looks like to her, specifically.","Tell her you trust her to weigh it up, and that you'll respect whichever way she goes.","Offer to co-design what the next 90 days could look like.","B","Coach"
"mom_dan_flat","Dan Morgan","Assistant Manager","5 years, recently passed over for promotion","Dan delivered a flat ""whatever you think"" to a junior colleague's suggestion this morning. It landed badly - you saw the colleague visibly deflate. Dan is technically strong but has felt distant since the promotion round.","This is a pattern you've been letting slide. How do you handle it?","Pull Dan aside and name the behaviour - tell them the bar.","Ask Dan how they think their responses are landing with the team.","Have the junior colleague feed back directly to Dan.","Sit with Dan and talk honestly about what the last few months have been like.","D","Work through together"
"mom_rota_request","Mia Kowalski","Team Leader","18 months in role","Mia asks for flexibility on shifts for a personal situation, but the change would strain the rota others just accepted. She says she hasn't told anyone else on the team why.","The fair-process question is live. How do you handle the request?","Decline - protecting equity across the team matters more than any one case.","Ask Mia what she thinks a fair outcome looks like.","Approve it and trust her to manage any fallout with the team.","Work out a solution together that could extend to others later.","D","Work through together"
"mom_ben_whistle","Ben Okafor","Team Leader","2 years in role","Ben pulls you into the back office looking uncomfortable. ""I've watched the same colleague under-ring discounted items for friends three times this week. I haven't told anyone. I don't want to get it wrong.""","Ben is asking you to take the next step. How do you respond?","Thank them and tell them you'll take it from here. Loss prevention picks it up next.","Ask them what made this the moment they decided to speak up.","Tell them they've done the right thing and ask how they want to see it handled.","Walk through the process with them so they know what happens next and their part in it.","D","Work through together"
"mom_kate_feedback","Kate Ryan","Duty Manager","7 years in store","You gave Kate feedback this morning about how she handled a customer complaint. She nodded in the moment but has been cool all afternoon, avoiding eye contact. You're about to head into a planning session together.","You sense the feedback didn't land the way you intended. How do you open the next conversation?","Park it and push on with the planning session. Performance stands, don't dilute it.","Check in: ask how the feedback sat with her overnight.","Leave her space. Trust her to raise it if she needs to.","Name what you're noticing and offer to replay the conversation together.","D","Work through together"
"mom_nadia_overstretch","Nadia Hassan","Assistant Manager","1 year in role","Nadia has quietly been covering two team leader roles for a fortnight while you recruit. She keeps saying ""I'm fine"" but you've seen her stay 90 minutes past shift three days running. She has asked for ""a quick five minutes"".","You know what's coming. What's the stance you want to walk in with?","Get ahead of it: tell her what you're taking off her plate, effective now.","Ask her what 'fine' has actually looked like for her these two weeks.","Hand her the choice: what does she want to drop, and what does she want to keep?","Sit down together and rebuild the coverage plan from scratch.","B","Coach"
"mom_ryan_return","Ryan Doyle","Team Leader","Back from 6 months off sick","Ryan is two weeks back after long-term sick leave. Everyone has been warm, but his team has been carefully skirting the bigger decisions around him. He catches you at the coffee machine. ""I feel like I'm being handled. Am I?""","It's a direct question and he's looking at you. How do you respond?","Be straight: yes, the team has been cautious. Tell him what you'll change.","Ask him what being handled feels like from where he's standing.","Tell him his team will take their cue from him. What does he want to signal?","Suggest you and he meet the team together and reset expectations openly.","B","Coach"
"mom_aisha_flex","Aisha Khan","Customer Assistant","8 years, caring commitments","Aisha catches you during an availability conversation. ""This new approach - it feels like the flexibility only ever runs one way, towards the store. I've caring commitments at home and I'm worried what this does to them.""","Aisha is experienced and well respected, and she is raising this openly. How do you respond?","Reassure her the change is happening and explain the safeguards that are in place.","Ask what specifically concerns her, and what flexibility that works both ways would look like.","Ask her line manager to agree an arrangement with her and update you afterwards.","Share the store's coverage needs and agree an availability window together that works for both sides.","B","Coach"
"mom_marcus_online","Marcus Green","Online Manager","18 months in role","Online is under real pressure. A multiskilled colleague who could cover is reluctant to move across from their usual area. Their manager, Marcus, tells you they are trained for Online but lack the confidence.","You need the cover, and you want the colleague to grow into it. How do you handle it?","Move them onto Online and explain that everyone works where customers need them most.","Ask the colleague what is making them hesitant and what would help them feel confident there.","Trust Marcus to handle the conversation and close the gap.","Bring the colleague and Marcus together to agree the support they need and how they will build confidence.","D","Work through together"
"mom_sophie_release","Sophie Allen","Trading Manager","2 years in role","A nearby store has asked for weekend support. One of your colleagues wants the overtime but has never worked there, and their manager, Sophie, is uneasy about releasing them.","Both stores are watching how you call this. What do you do?","Decide whether your store can spare them and tell both managers what will happen.","Ask Sophie what is driving her concern and what would make releasing the colleague possible.","Let the colleague and the two managers arrange it between themselves.","Work with Sophie to check local demand, the colleague's skills and the support at the other store before agreeing.","D","Work through together"
"mom_priya_shah_process","Priya Shah","Online Manager","Recently promoted","A usually reliable colleague's performance has dipped. Priya, recently promoted into the manager role, wants to start a formal process straight away.","Priya is looking to you to endorse the formal route. How do you respond?","Tell her to begin documenting the performance concerns.","Ask what has changed, what conversations have already happened and what support has been offered.","Trust Priya to follow the process she believes is appropriate.","Review the evidence together and agree the next conversation with the colleague.","B","Coach"
"mom_liam_joke","Liam Evans","Customer Assistant","Experienced high performer","During the morning huddle, Liam, a respected high performer, makes a belittling joke about a new colleague. It lands badly and the new starter looks crushed.","It happened in front of the whole team. How do you handle it?","Stop the comment, reinforce the standard you expect and speak to him privately afterwards.","Ask him later how he thinks the comment may have landed.","Ask the huddle leader to deal with it and update you.","Bring the two colleagues together to clear the air.","A","Take charge (directive)"
"mom_ben_foster_welfare","Ben Foster","Team Leader","6 years in role","A colleague is visibly shaken after a customer verbally abused them. They insist they can carry on because the department is already short-staffed. Their team leader, Ben, is waiting for your call.","The colleague wants to push through it. What do you do?","Take them off the shop floor, check their welfare and make sure the incident is handled through the correct process.","Ask them what they feel able to do and what support they would find helpful.","Ask Ben to look after the colleague and manage the department.","Agree with the colleague and Ben how to balance their welfare with the immediate coverage gap.","A","Take charge (directive)"
"mom_hannah_signoff","Hannah Bell","Assistant Manager","5 years in role","Hannah has built a strong plan for the busiest weekend of the month. She has run weekends like this well before, but she is asking you to approve every single deployment decision.","She is more than capable, yet she is leaning on you to sign off each call. How do you respond?","Review the plan and tell her exactly what you want changed.","Ask which elements of the plan she feels least confident about.","Confirm the outcomes you need, then ask Hannah to finalise and deliver the plan.","Work through each part of the plan with her before approving it.","C","Hand over (delegate)"
"mom_jack_nightshift","Jack Turner","Team Leader","3 years in role","Jack has spotted that a change to the night-shift pattern would improve coverage, but it would disrupt longstanding arrangements for three colleagues. He is unsure how to proceed and has brought it to you.","Jack could have pushed it through or sat on it, but he has come to you. How do you steer it?","Tell Jack to implement the change - the current coverage is not working.","Ask him what he thinks a fair outcome would look like.","Ask Jack to consult the colleagues and decide how to proceed.","Explore the options with Jack and agree how the colleagues will be involved before anything changes.","D","Work through together"
"mom_matthew_handover","Matthew Collins","Assistant Manager","1 year in role","In your handover, the previous Store Manager described Matthew as resistant to change, inconsistent and needing close management. You have never worked with him, and you have not yet heard his side.","The handover has coloured your view before you have even met him. How do you approach Matthew?","Explain the concerns raised, set clear expectations and monitor him closely from the outset.","Ask Matthew how he thinks his first year has gone, what he is proud of and where he wants to develop.","Treat it as a fresh start, give him greater responsibility and trust him to show what he can do.","Hold the handover as one perspective, meet Matthew with an open mind and agree what good looks like as you form your own view.","D","Work through together"
