"Scenario Title","Business Situation (1-2 lines)","Primary Decision","Options (A-D)","Best Option (A/B/C/D)","What Good Looks Like (Outcome)","What Goes Wrong (If Poor Choice)","Difficulty (Low / Medium / High)","Area / Theme"
"Fire Alarm Activation","A faulty smoke detector in the backroom triggered a full evacuation. Shop floor unattended for 12 minutes.","How do you respond in the moment?","A) Stick to standard evacuation process  B) Adapt the response locally  C) Escalate to facilities and head office now  D) Reallocate team to secure the floor on re-entry","C","Safety risk closed cleanly, faulty detector replaced, team confidence in the protocol grows","Safety risk lingers, second false alarm in the shift, loss of trust in the system","High","Safety / Loss / Operations"
"Competitor Flash Promotion","A rival store launched a 25% off promo within the hour.","How do you respond in the moment?","A) Hold standard pricing  B) Adapt locally with a tactical counter-offer  C) Escalate to commercial team  D) Reallocate colleagues to high-traffic categories","B","Sales held or grown vs the competitor window, capability built for next time","Footfall drops to the competitor, sales target missed, commercial team intervenes from the centre","Medium","Commercial / Customer"
"Viral Customer Complaint","A social media post about till queues is gaining traction.","How do you respond in the moment?","A) Standard complaint process  B) Adapt locally with a public service recovery  C) Escalate to PR / head office  D) Reallocate to clear the queue and own the moment","D","Queues clear, recovery is visible, post is reframed by your action","Story compounds, head office takes over, customer-experience score crashes","High","Customer / Operations"
"Key Colleague Walks Out","A senior team member left mid-shift, citing pressure.","How do you respond in the moment?","A) Cover the gap via standard process  B) Adapt the rota locally for the rest of the shift  C) Escalate to HR  D) Reallocate team to cover, brief openly","D","Gap is covered, team sees leadership, conversation with the colleague handled with care after shift","Team morale collapses, others read it as the standard, more leave","High","People / Leadership"
"Power Outage Backroom","Chilled goods are at risk in a 30-minute window.","How do you respond in the moment?","A) Standard process - wait for engineer  B) Adapt locally - move stock to working chillers  C) Escalate to facilities and engineering  D) Reallocate team to triage stock","C","Power restored or stock saved, shrinkage minimal, no food-safety incident","Stock loss in tens of thousands, food-safety risk, shrinkage spike","High","Safety / Loss / Operations"
"Medical Incident in Store","A customer has collapsed near the service desk. First-aiders are responding but rattled.","How do you respond in the moment?","A) Standard first-aid process  B) Adapt locally as the situation evolves  C) Escalate to emergency services  D) Reallocate team to support and screen the area","C","Emergency services on scene, customer cared for, team debriefed","Delayed response, customer outcome worse, colleague trauma untreated","High","Safety / Loss / Customer"
"Product Recall Live","Head Office pushed an immediate recall on a bakery line. Product is still on sale.","How do you respond in the moment?","A) Standard withdrawal process  B) Adapt locally for speed  C) Escalate to head office for visibility  D) Reallocate team to clear the floor in minutes","D","Product off shelf in under 15 minutes, recall logged cleanly","Customer purchases recalled product, regulatory and brand exposure","High","Safety / Loss / Commercial"
"Till System Partial Outage","Half the tills are frozen on a card-network issue. Cash works. Queues doubling.","How do you respond in the moment?","A) Standard till failover  B) Adapt locally - cash queues, signage, recovery  C) Escalate to IT  D) Reallocate colleagues to manual ops and queue control","D","Customer flow held, cash-only signage clear, IT engaged in parallel","Queues spiral, baskets abandoned, viral complaint risk","High","Customer / Operations"
"Minor Flood Overhead Pipe","Water is coming through the ceiling near wines and spirits. Stock and electricals nearby.","How do you respond in the moment?","A) Standard cleanup process  B) Adapt locally  C) Escalate to facilities urgently  D) Reallocate team to isolate the area","C","Area isolated, electrical risk closed, minimal stock loss","Slip risk realised, electrical incident, stock write-off","High","Safety / Loss / Operations"
"Unannounced Director Visit","A retail director has arrived unannounced for a walk-round.","How do you respond in the moment?","A) Standard hosting process  B) Adapt locally - confident, transparent walk-round  C) Escalate to regional manager  D) Reallocate to tidy and prep first","B","Director sees a confident store, leadership consistency on display, relationship built","Visible scramble, gaps exposed, leadership visibility damaged","Medium","Leadership / Operations"
"Local News Crew on Forecourt","A reporter is asking customers about a national story that mentions your store.","How do you respond in the moment?","A) Standard media policy - no comment  B) Adapt locally - controlled engagement  C) Escalate to head office PR  D) Reallocate a manager to monitor","C","PR-led response, no off-message colleague comments, story controlled","Off-message colleague soundbite, brand exposure, head office finds out via the news","High","Customer / Reputation"
"Colleague Accused of Theft","A customer publicly accused a colleague of pocketing a returned item. A crowd is forming.","How do you respond in the moment?","A) Standard incident process  B) Adapt locally - separate, listen, review camera  C) Escalate to LP and security  D) Reallocate to manage the crowd and protect the colleague","D","Colleague protected, incident resolved transparently, customer either heard or proven wrong cleanly","Public-facing trust collapse, colleague welfare incident, viral risk","High","People / Customer / Safety / Loss"
"Delivery Partner Crash Car Park","A third-party driver reversed into two customer cars. No injuries.","How do you respond in the moment?","A) Standard incident process  B) Adapt locally with the customers and driver  C) Escalate to insurance and partner  D) Reallocate manager to manage on-site","D","Customers handled with care, partner accountability documented, no escalation to head office","Customers leave angry, insurance dispute, brand damage by association","Medium","Customer / Operations"
"Server Room Overheating","The air-con unit in the comms room has failed. Systems warning is live, stock ordering at risk.","How do you respond in the moment?","A) Standard facilities process  B) Adapt locally - portable cooling, prioritise systems  C) Escalate to facilities and IT  D) Reallocate team to monitor systems while engineers arrive","C","Systems hold until engineer arrives, no data loss, ordering window protected","Systems failure, ordering missed, knock-on availability hit next day","High","Operations / Commercial"
