"Scenario Title","Business Situation (1-2 lines)","Primary Decision","Options (A-D)","Best Option (A/B/C/D)","What Good Looks Like (Outcome)","What Goes Wrong (If Poor Choice)","Difficulty (Low / Medium / High)","Area / Theme"
"Sam Taylor Pushback","A 12-year duty manager corners you in the backroom and says your allocation plan won't work, citing experience.","You hold the decision rights but they have more store experience. How do you respond?","A) Hold the line and explain your rationale  B) Ask what specifically they're seeing that you might be missing  C) Defer to their judgement and adopt their plan  D) Invite them to refine the plan with you in five minutes","D","Veteran feels heard, plan is sharpened with shop-floor reality, leadership consistency intact","Either you bulldoze a credible voice (trust drops) or you cave entirely (consistency drops, plan still wrong)","Medium","Leadership / Influence"
"Alex Rivera Asks Your View","A new assistant manager pulls you aside about a flare-up between two team leaders over the rota, asking whether to step in.","A new leader is asking for your view. How do you respond?","A) Give them your answer so they can act on it  B) Ask them what the risks of each choice are  C) Tell them the decision is theirs and you'll back it  D) Offer to think it through with them for ten minutes","B","Alex builds judgement muscle, learns to weigh trade-offs, capability uplift carries forward","Either you do their thinking for them (capability stalls) or you abandon them (decision quality suffers)","Medium","Leadership / Coaching"
"Jo Chen Missed Briefings","A capable shift supervisor has missed two briefings this week. Team leaders are starting to question whether briefings matter.","You need to land this conversation well. How do you open it?","A) Be clear that briefings are non-negotiable  B) Ask what's getting in the way and what support is needed  C) Ask them what they want to commit to  D) Revisit the briefing format together","B","Root cause surfaces, performance recovers without the team feeling threatened, briefings restored","Pattern entrenches, team reads it as the standard slipping, leadership consistency erodes","Medium","Leadership / Performance"
"Priya Patel Leaving","A top-performing team leader tells you she's been offered a competitor role and feels she's ""treading water"".","A top performer is on the verge of leaving. How do you respond?","A) Lay out what you can realistically offer  B) Ask her what 'treading water' actually looks like  C) Tell her you trust her to weigh it up  D) Offer to co-design what the next 90 days look like","D","Priya stays, growth path is co-owned, retention signal strengthens across the team","Star colleague exits, knock-on attrition risk, capability hit you can't replace quickly","High","Leadership / Retention"
"Dan Morgan Flat Response","An assistant manager passed over for promotion delivers a flat ""whatever you think"" to a junior, who visibly deflates.","You've been letting this pattern slide. How do you handle it?","A) Pull Dan aside and name the behaviour  B) Ask Dan how his responses are landing  C) Have the junior feed back to Dan directly  D) Sit with Dan and talk honestly about the last few months","D","Honest conversation rebuilds connection, behaviour shifts, junior colleagues stop being collateral","Resentment compounds, others learn the bar has dropped, engagement leaks","High","Leadership / Difficult Conversations"
"Mia Kowalski Rota Request","A team leader asks for shift flexibility for personal reasons, but it would strain a rota others just accepted.","The fair-process question is live. How do you handle it?","A) Decline to protect equity  B) Ask Mia what a fair outcome looks like  C) Approve and trust her to manage fallout  D) Co-design a solution that could extend to others","D","Need is met without breaking fairness, principle scales to future cases, trust both ways","Either Mia feels unsupported or the wider team senses favouritism - either way leadership consistency takes a hit","Medium","Leadership / Fairness"
"Ben Okafor Whistleblowing","A team leader has watched a colleague under-ring discounted items for friends three times. He's only just spoken up.","Ben is asking you to take the next step. How do you respond?","A) Take it from here, loss prevention picks it up  B) Ask what made this the moment he spoke up  C) Tell him he's done right and ask how he wants it handled  D) Walk through the process so he knows what happens next","D","Ben is supported, process is followed cleanly, future speak-ups become more likely","Whistleblower regrets coming forward, process feels opaque, theft pattern continues unchecked","High","Safety / Loss / Conduct"
"Kate Ryan Feedback Cool","You gave Kate feedback this morning. She nodded but has been cool all afternoon, ahead of a planning session together.","The feedback didn't land the way you intended. How do you reopen it?","A) Push on with the planning session, performance stands  B) Check in: ask how the feedback sat overnight  C) Leave her space and trust her to raise it  D) Name what you're noticing and offer to replay the conversation","D","Working relationship recovers, feedback lands properly the second time, planning session is honest","Resentment hardens, future feedback is rejected before it's heard, working relationship cools further","Medium","Leadership / Feedback"
"Nadia Hassan Overstretched","An assistant manager has quietly covered two team leader roles for a fortnight. Stays 90 minutes late, says she's ""fine"".","You know what's coming. What stance do you walk in with?","A) Get ahead of it, tell her what you're taking off her plate  B) Ask what 'fine' has actually looked like  C) Hand her the choice of what to drop  D) Sit down together and rebuild the coverage plan","D","Workload is recalibrated jointly, burnout averted, Nadia learns to flag earlier next time","Burnout, sickness absence, you lose her temporarily or permanently right when you can least afford it","High","Leadership / Wellbeing"
"Ryan Doyle Handled","A team leader two weeks back from long-term sick directly asks: ""I feel like I'm being handled. Am I?""","It's a direct question. How do you respond?","A) Be straight - yes, the team has been cautious, here's what changes  B) Ask him what being handled feels like from where he stands  C) Tell him his team will take their cue from him  D) Suggest you and he meet the team together to reset","D","Trust is rebuilt openly, team behaviour resets, return-to-work goes from fragile to stable","Ryan disengages or relapses, team stays in tiptoe mode, silent erosion of his authority","High","Leadership / Inclusion"
