"Scenario Title","Business Situation (1-2 lines)","Primary Decision","Options (A-D)","Best Option (A/B/C/D)","What Good Looks Like (Outcome)","What Goes Wrong (If Poor Choice)","Difficulty (Low / Medium / High)","Area / Theme"
"Short-dated Stock Build-up","The chilled aisle has 180 units within 24-hour expiry.","What priority response do you take this shift?","A) Loss-control: redeploy to markdown and clear  B) People-team: brief the team on prevention  C) Customer: front-of-store clearance promotion  D) Commercial: discount and push sales","A","Waste minimised, shrinkage controlled, future ordering tightened","Stock written off in full, shrinkage spikes, EHO risk if it spreads","Medium","Commercial / Safety / Loss"
"Till Queue Over 8 Minutes","Front-end service levels are breaching threshold during peak.","What priority response do you take this shift?","A) Loss-control: keep tills running as-is  B) People-team: pull a colleague off another task  C) Customer: open extra tills now and own the apology  D) Commercial: drive customers to self-scan","C","Queues clear within 10 minutes, customer sentiment recovers, no viral complaint","Customer complaints escalate, social-media risk, sales lost to walk-outs","High","Customer / Commercial"
"Two Team Members Absent","The duty manager is short-handed in the backroom.","What priority response do you take this shift?","A) Loss-control: lock down high-risk areas  B) People-team: rebalance roles and check colleague load  C) Customer: prioritise front of store coverage  D) Commercial: push deliveries to next shift","B","Coverage stabilised, remaining team feel supported, output holds","Team feels abandoned, errors increase, sickness contagion as morale drops","Medium","People / Operations"
"Repeat Shoplifting Pattern","Security footage shows three incidents this week in the spirits aisle.","What priority response do you take this shift?","A) Loss-control: brief team and reposition cover  B) People-team: train colleagues on safe challenge  C) Customer: increase visible service in the aisle  D) Commercial: relocate the most-targeted SKUs","A","Pattern broken, shrinkage closed, colleagues feel safe to act","Theft normalises, shrinkage compounds, colleague safety incident risk rises","High","Safety / Loss"
"Delivery 90 Minutes Late","The backroom team is blocked, with shop-floor gaps forming.","What priority response do you take this shift?","A) Loss-control: leave gaps, focus on shrink  B) People-team: rotate the backroom team to floor  C) Customer: own the gaps with signage and offers  D) Commercial: replan the shift around delivery slot","D","Floor recovered ahead of peak, sales protected, backroom unblocked when delivery lands","Available stock sits in the backroom, sales fall, customer complaints about gaps","Medium","Commercial / Operations"
"Customer Complaint Escalated","A refund was refused at self-scan. The customer is demanding a manager.","What priority response do you take this shift?","A) Loss-control: enforce refund policy strictly  B) People-team: coach the colleague who handled it  C) Customer: handle in person and recover the relationship  D) Commercial: process the refund quickly and move on","C","Customer leaves satisfied, complaint doesn't escalate to head office, colleague learns","Complaint goes external, viral risk, colleague unclear on the right call next time","Medium","Customer"
"Interpersonal Conflict on Nights","A supervisor flagged a dispute affecting morale and output.","What priority response do you take this shift?","A) Loss-control: separate them on shift patterns  B) People-team: facilitate a structured conversation  C) Customer: keep them apart from customer-facing tasks  D) Commercial: ignore until it impacts numbers","B","Conflict surfaces and resolves, team output improves, supervisor builds confidence","Tension spreads, output drops, one or both walk","Medium","People"
"Planogram Compliance 62%","Head Office flagged a compliance shortfall in beers and wines.","What priority response do you take this shift?","A) Loss-control: audit for missing high-value SKUs  B) People-team: train the merchandising team  C) Customer: focus on aisle visual standards  D) Commercial: full reset to regain compliance","D","Compliance back above 90%, sales lift on the corrected range, head-office heat off","Repeat flag, regional visit risk, sales pinned by poor availability","Low","Commercial"
"Waste Tracking 14% Over Target","Bakery and produce departments are over-indexed this week.","What priority response do you take this shift?","A) Loss-control: tighten markdown and ordering discipline  B) People-team: brief department leads on root cause  C) Customer: reduce range to high-sellers  D) Commercial: aggressive markdowns to clear","A","Waste back in line, shrinkage controlled, ordering tightened for next week","Waste compounds, weekly P&L hit, customer perception drops as fresh sections look picked-over","Medium","Commercial / Safety / Loss"
"Unreported Spillage Aisle 7","A wet floor sign is missing. A customer flagged it; a colleague had walked past twice.","What priority response do you take this shift?","A) Loss-control: clean, sign, brief the team on protocol  B) People-team: address the colleague who walked past  C) Customer: recover the customer who flagged it  D) Commercial: continue trade as normal","A","Safety risk closed, team standard reset, customer reassured","Slip incident, injury, RIDDOR-reportable, lasting trust damage","High","Safety / Loss / Customer"
